Timesteps,Avg Return,Std Error
2000,-443.52097009436557,0
4000,-346.6343660529343,0
6000,-381.4371521110673,0
8000,-348.5705559678471,0
10000,-363.43529252738637,0
12000,-376.4167076327765,0
14000,-386.02468461540167,0
16000,-383.6351789804874,0
18000,-382.6310197087677,0
20000,-376.5160837381203,0
22000,-383.7702736352665,0
24000,-383.5970662607131,0
26000,-388.77564383452943,0
28000,-397.47937276790975,0
30000,-402.8128870717399,0
32000,-403.99041559625607,0
34000,-400.2496668712634,0
36000,-391.36179420605805,0
38000,-393.70171071593285,0
40000,-409.42226470533996,0
42000,-412.1701300396345,0
44000,-412.37512724165697,0
46000,-417.1049372470631,0
48000,-422.2449522286035,0
50000,-429.6775966945905,0
52000,-425.1717270223634,0
54000,-426.2110221203534,0
56000,-427.59355067877266,0
58000,-436.6512105212221,0
60000,-442.69692604592694,0
62000,-444.7953916069552,0
64000,-449.1101934053685,0
66000,-452.8301772262401,0
68000,-453.13068080755335,0
70000,-459.20432417348735,0
72000,-463.2880026774965,0
74000,-465.7136126439329,0
76000,-471.67727076192443,0
78000,-472.4753978354504,0
80000,-476.4088635913612,0
82000,-480.0847073617094,0
84000,-483.88427728423216,0
86000,-485.61843809232556,0
88000,-487.85486857921364,0
90000,-495.3056815745825,0
92000,-500.81303511341304,0
94000,-503.5243796508998,0
96000,-509.16446179284344,0
98000,-513.3126594042225,0
100000,-519.6165361388503,16.569010607456654
102000,-523.0045152851151,16.67078523157129
104000,-535.9127601899938,17.019155462151787
106000,-543.6052846995723,17.588031986556064
108000,-556.2389827236348,17.701393526849678
110000,-564.3426943545376,18.023337729785183
112000,-575.1039143610478,18.844406328169626
114000,-585.0447009746165,19.338608862119244
116000,-594.2570667981533,19.569440618249637
118000,-605.200590548714,19.786443220322056
120000,-615.2639378391514,19.590842811633873
122000,-619.4363005502461,19.486475638143165
124000,-630.3944383756997,19.64547501069821
126000,-636.4979512205093,19.623669793054002
128000,-646.4862302868619,20.20331927907494
130000,-656.3744109860279,20.552551529685196
132000,-669.2769629112914,21.038721250670953
134000,-680.6611569602065,20.82417039890727
136000,-694.9188400810663,20.035448916921858
138000,-705.6364326272474,20.079676600327254
140000,-707.9960439291721,19.948938103494893
142000,-716.7979893030118,19.8327154099738
144000,-728.4539171368418,19.731426033980295
146000,-734.6957212593984,19.61316447716597
148000,-743.5173973584508,19.692394537199796
150000,-751.4128570340453,19.9360778387246
152000,-762.1409630353161,18.934054891333385
154000,-768.4636155397628,18.467013511421754
156000,-778.1138452109631,18.13862089110395
158000,-782.264432265104,18.41341086194388
160000,-785.9009174608931,18.50729471081532
162000,-794.7154258885722,18.238227388390555
164000,-804.3378400053657,18.36929048050882
166000,-811.2435507085892,18.16305132445796
168000,-819.0111828648244,17.47914556072909
170000,-827.7964116798674,17.846411897234034
172000,-834.3637459560493,17.79431478433986
174000,-841.2028238065861,17.66144338218274
176000,-843.974824449234,17.924650430050903
178000,-854.9795731121553,17.40772908065922
180000,-861.7665503247155,17.191858316209654
182000,-863.6536763249162,17.267321131442504
184000,-871.0939472360425,17.093524041460505
186000,-878.3656813526187,16.274546726788834
188000,-880.8663661997132,15.848936276945363
190000,-885.4798370745904,15.997326339557015
192000,-890.4648463157478,16.117166003482637
194000,-896.5333241972755,15.557753604597858
196000,-901.3332743653135,15.543415356030883
198000,-907.0880000070088,15.430624132376654
200000,-909.4158138827029,15.397110367870734
202000,-915.3676886566834,14.714306020502017
204000,-913.9937194898395,14.827719583377236
206000,-914.7495928232545,14.689632226982877
208000,-917.6990864994175,14.84704997738684
210000,-920.53209659918,14.785428817812777
212000,-919.0252749085025,14.790871268565274
214000,-918.3650322382415,14.788085835890124
216000,-919.5271788029396,14.50932671649974
218000,-917.0157939760829,14.626748675390862
220000,-918.6551558796189,14.636569383140415
222000,-921.6677972608019,14.24111557990141
224000,-919.1673584513945,14.41805611881133
226000,-922.1203115583579,14.130867072941268
228000,-921.5813148537637,14.125232157816246
230000,-921.9119889665143,14.34861222898996
232000,-919.9588215268111,14.254321258118953
234000,-921.2151713596459,14.190789558155648
236000,-920.2337706763133,14.242121643834787
238000,-918.3628109457603,14.30443275667125
240000,-919.0872105982427,14.332666842982354
242000,-917.2072223250536,14.462659139352088
244000,-914.0323735621906,14.561118010902879
246000,-917.0746407005151,14.458447237054665
248000,-914.9338263565279,14.635673962956677
250000,-911.109226178146,14.681120759736388
252000,-910.272386167815,14.71836917606891
254000,-912.2875487006153,14.913238140943994
256000,-907.0732122368856,15.250742372440438
258000,-906.4520560094876,14.96272496507655
260000,-906.6615009387149,14.62067956996521
262000,-904.2220746594702,14.632847940924668
264000,-899.3920343883337,14.473654735406374
266000,-900.8511457047299,14.484334493531094
268000,-901.7131426438797,14.46217533179626
270000,-896.858550186891,13.886762967159594
