Timesteps,Avg Return,Std Error
2000,-459.95117227781765,0
4000,-428.0615044128907,0
6000,-382.2982346855947,0
8000,-379.41739775607425,0
10000,-359.593836929808,0
12000,-349.4231131687127,0
14000,-351.3376666119945,0
16000,-352.4033319991771,0
18000,-347.49590899305235,0
20000,-352.620376943374,0
22000,-360.0109989999127,0
24000,-359.3117217883262,0
26000,-352.55601151111375,0
28000,-360.9199891860466,0
30000,-357.74690794937317,0
32000,-366.81944836410133,0
34000,-370.53681544176266,0
36000,-371.9111286539054,0
38000,-374.90192056152625,0
40000,-377.331040278447,0
42000,-379.8207630418705,0
44000,-379.90771175757254,0
46000,-375.43117979034304,0
48000,-379.49059507487596,0
50000,-381.64596952241504,0
52000,-383.5658047533807,0
54000,-384.76225444954093,0
56000,-387.1455253867811,0
58000,-386.76994793951405,0
60000,-382.97288374234626,0
62000,-383.19356465846346,0
64000,-383.2542494567331,0
66000,-382.4953855969588,0
68000,-384.51489993665245,0
70000,-384.54337539727186,0
72000,-385.7893951299866,0
74000,-384.3763880393184,0
76000,-387.5681792065252,0
78000,-384.456886337097,0
80000,-381.5914563125045,0
82000,-379.69457727271015,0
84000,-377.36224088462797,0
86000,-375.9691995528817,0
88000,-374.4522442219444,0
90000,-375.1103222817775,0
92000,-373.20995565229276,0
94000,-371.99688030358305,0
96000,-371.0226908789459,0
98000,-370.3363818896015,0
100000,-369.8241919800005,9.228236345482102
102000,-367.96662587199177,9.049835089679151
104000,-367.4057047672756,9.03777110576796
106000,-368.8238204186137,8.812753718770592
108000,-369.12278598690506,8.80523334219327
110000,-371.68599389553367,8.72769602910522
112000,-374.1291427380885,8.673439763439905
114000,-375.1393471909636,8.639263790566403
116000,-376.5292262664253,8.62346912595524
118000,-379.2092076189545,8.546446437459384
120000,-380.20889769676205,8.589114418146304
122000,-380.7274751532896,8.614742885138797
124000,-382.9620571275861,8.681033001609089
126000,-387.0214667659067,8.595515911811344
128000,-387.4420271930836,8.641654322292647
130000,-390.8295298656756,8.671045153367015
132000,-390.6141729068554,8.618606757991335
134000,-392.0550853820098,8.669384302581804
136000,-394.33961738995674,8.818266054653431
138000,-396.07095239323417,8.96561514039438
140000,-397.9000820636759,9.083719349548721
142000,-399.9125627083195,9.2038492702527
144000,-402.89669207109523,9.38040452063106
146000,-408.13138290351213,9.391136155167446
148000,-409.47493277111744,9.521872024749538
150000,-411.7738447572821,9.677776366064004
152000,-414.13521822736146,9.783068454552396
154000,-416.938917059688,9.841364549168198
156000,-419.1398196319022,10.018200459624305
158000,-422.9554076732126,10.12291837466179
160000,-428.9239178376535,10.09891059564769
162000,-432.47857700015345,10.100337668439158
164000,-436.31146834131255,10.134538634949388
166000,-440.75762445876353,10.190994320864837
168000,-443.3911455138652,10.36215616522362
170000,-447.3591809658342,10.407607939234877
172000,-450.51088038102046,10.34483232528498
174000,-455.64190227024136,10.319709150512157
176000,-457.33683963653425,10.453822526750981
178000,-463.81058230253177,10.249630628084873
180000,-470.25492122152457,10.015235878254114
182000,-476.0769028129211,9.8653753402501
184000,-482.3023645106461,9.597841801200333
186000,-487.77992926160584,9.415067245451239
188000,-493.4477998436216,9.166552761450927
190000,-497.25500922072797,9.039338185285796
192000,-503.36092228348423,8.613867523025784
194000,-508.9113448276926,8.276138052468095
196000,-514.2883585357575,7.9254140663788295
198000,-519.4133451322701,7.58580993684563
200000,-524.3966529864806,7.231331604927459
202000,-528.9247227203224,6.9347831173238585
204000,-533.417165549143,6.5974209193315945
206000,-538.0477703997193,6.174343185906977
208000,-542.2150017380741,5.824972457824531
210000,-545.9468007256836,5.546856022266146
212000,-549.4156795406022,5.284081802902568
214000,-553.0251622565098,4.947844262936763
216000,-556.3517197172763,4.649700862693372
218000,-559.3446468441501,4.379188751292973
220000,-562.2588988505373,4.1098129686234035
222000,-564.9412750832552,3.8570946970889146
224000,-567.5408185763058,3.590728178010669
226000,-569.9301015935179,3.351805050253527
228000,-571.9610331983926,3.1655839970960984
230000,-574.1909669162195,2.910836197418875
232000,-576.2150678029363,2.675405072260207
234000,-578.0443190711982,2.4664964469237236
236000,-579.7453910958816,2.271309571041914
238000,-581.2916233014719,2.0813684293974903
240000,-582.8705550919564,1.8590892944882218
242000,-584.1548606144901,1.7067061918152118
244000,-585.3815736485245,1.5303540845059702
246000,-586.5008515063395,1.3821868035243354
248000,-587.5357360133232,1.2131125312231794
250000,-588.4468779124995,1.0785158576068925
252000,-589.34548813294,0.9227229018584593
254000,-590.0733428309092,0.7902786300819062
256000,-590.7086905532167,0.6781120932724043
258000,-591.2422647716569,0.5886726647678027
260000,-591.678825012904,0.5162567931129414
262000,-592.2271434670246,0.3825083145944783
264000,-592.570476986816,0.3125760685937631
266000,-592.8327413890447,0.2607276623619995
268000,-593.0497465595126,0.21767280512492632
270000,-593.2346684931584,0.17108909958599688
272000,-593.3356265270314,0.14613183638360808
274000,-593.4214430755255,0.1386515705493813
