Timesteps,Avg Return,Std Error
2000,-471.9099109423161,0
4000,-450.1484162175283,0
6000,-478.10162434766744,0
8000,-473.5669342243509,0
10000,-465.11447718722394,0
12000,-489.34939581610723,0
14000,-501.36939625492596,0
16000,-485.62843613998325,0
18000,-477.5105207919813,0
20000,-475.6375440523467,0
22000,-501.70961812374867,0
24000,-513.193630210893,0
26000,-515.011839230334,0
28000,-546.5377527561511,0
30000,-566.5352912130478,0
32000,-565.839792611157,0
34000,-583.5118555308997,0
36000,-596.9730454734615,0
38000,-623.9311106586371,0
40000,-650.353684313944,0
42000,-678.0826898392248,0
44000,-694.4197833006875,0
46000,-728.4226672379368,0
48000,-767.1314838632939,0
50000,-787.822081073097,0
52000,-820.561754297957,0
54000,-858.6493954332931,0
56000,-879.6808668412084,0
58000,-919.225144268457,0
60000,-960.0696157719752,0
62000,-978.3674118235133,0
64000,-1019.4369428198968,0
66000,-1061.8990731839624,0
68000,-1099.072535081747,0
70000,-1136.8435198838706,0
72000,-1171.3015974609875,0
74000,-1206.0028835785683,0
76000,-1238.4856552482045,0
78000,-1269.3870177714812,0
80000,-1299.0121871711658,0
82000,-1327.408395226708,0
84000,-1355.3314309663813,0
86000,-1380.5191112369268,0
88000,-1405.212632702294,0
90000,-1428.5016440968795,0
92000,-1450.5788326326476,0
94000,-1470.5899396660575,0
96000,-1490.4134149519878,0
98000,-1509.4164325484714,0
100000,-1526.634165673662,82.66347996833026
102000,-1564.0826537232301,82.03943599498332
104000,-1602.3825718483674,81.11372138653755
106000,-1638.153795319979,80.25561642750695
108000,-1675.01837941794,78.98448169174985
110000,-1712.646433487052,77.43854231116435
112000,-1745.6723136262701,76.18007856966649
114000,-1779.2256525658179,74.59011522772428
116000,-1816.5923978628568,72.08574276877707
118000,-1853.037915392487,69.45141255026189
120000,-1888.7477484709407,66.72862781041914
122000,-1918.4442784674634,64.91078167125308
124000,-1950.1517911533865,62.40826121856335
126000,-1984.0234880941612,59.15605123493683
128000,-2009.6720790849004,57.39221468256719
130000,-2036.9880826376059,54.98245950001875
132000,-2070.3226132981804,50.792658194880715
134000,-2097.65425408089,47.830169508446986
136000,-2125.4065929390727,44.26163312872858
138000,-2147.7685956132736,41.79936017066616
140000,-2169.1059479687146,39.303694916301865
142000,-2188.819487946456,36.95394644792841
144000,-2212.41993944991,32.516411200066784
146000,-2227.5630338825613,30.756703017992407
148000,-2239.0213650965597,29.65831378747713
150000,-2257.291265966414,25.933294436228557
152000,-2269.207944533611,24.387991975508267
154000,-2276.4271427177036,23.65767712717514
156000,-2291.99718505082,18.424157755789054
158000,-2295.8144069420227,18.031805202714075
160000,-2297.69885054246,17.915873768330034
162000,-2312.2470236791896,9.749820797667358
164000,-2311.198871463801,9.803071990435862
166000,-2307.790471171529,9.704589134364408
168000,-2306.197662107718,9.758933161300755
170000,-2301.5805665379903,9.763954578549022
172000,-2298.677046377361,9.747586800110199
174000,-2294.1172157486667,9.535216037932464
176000,-2289.5453690899353,9.36871254074973
178000,-2285.095230622539,9.154672669275685
180000,-2280.5664846218015,8.84917068960128
182000,-2275.773572974336,8.488939689293451
184000,-2270.71886123325,7.876870996558677
186000,-2266.8404197307905,7.508622217676927
188000,-2262.178979169476,6.955814991101507
190000,-2258.7410717092016,6.399839810431607
192000,-2254.5933044743188,5.833204730637514
194000,-2251.052695306397,5.5253687956411595
196000,-2247.2513466089986,4.957288859198366
198000,-2244.0000201126327,4.253745811372314
200000,-2241.301777564735,3.852274467391738
202000,-2238.9021521529053,3.567150430371851
204000,-2236.515245498537,3.2232144392757633
206000,-2234.5225145189897,2.943807952809316
