Time Steps,Average Return,Standard Error
1000,-474.8322341,nan
2000,-464.1675859,10.6646482
3000,-444.95437,20.17570915
4000,-446.0573996,14.30895853
5000,-465.6332292,22.495797
6000,-478.4940765,22.42265183
7000,-477.0577403,19.00495427
8000,-476.5218034,16.46749657
9000,-465.9156957,17.9834949
10000,-465.7078093,16.08627016
11000,-466.2546232,14.5608499
12000,-466.7400741,13.30103834
13000,-467.2351199,12.24518663
14000,-467.2614434,11.33687047
15000,-466.0771725,10.62028775
16000,-458.8514524,12.28424723
17000,-463.7930923,12.55265998
18000,-462.4004639,11.9164168
19000,-461.5329964,11.30513232
20000,-470.7289408,14.12766115
21000,-467.9217582,13.72816213
22000,-464.054443,13.64864878
23000,-456.2622266,15.19228423
24000,-456.4701357,14.54699057
25000,-455.6280738,13.97836929
26000,-455.594117,13.43002574
27000,-455.1263522,12.93151117
28000,-454.6866294,12.46887193
29000,-454.4913536,12.03281513
30000,-454.013139,11.63463593
31000,-454.1439483,11.25382843
32000,-454.2679079,10.89717759
33000,-454.1951048,10.56205009
34000,-453.503564,10.27000292
35000,-453.3031371,9.974272141
36000,-453.0651095,9.696172236
37000,-453.0835467,9.430491143
38000,-452.8042799,9.183213366
39000,-452.5636362,8.947884083
40000,-452.5027712,8.721530979
41000,-452.1644603,8.512876369
42000,-451.987424,8.309602765
43000,-451.8349418,8.115487931
44000,-451.9201695,7.929358091
45000,-452.1104512,7.753482757
46000,-452.0514814,7.583285017
47000,-452.0360473,7.420200605
48000,-452.0787877,7.264094097
49000,-451.9697602,7.115138253
50000,-451.8569812,6.972295445
51000,-451.8981829,6.834340712
52000,-451.7950789,6.70241551
53000,-451.5133613,6.580771578
54000,-451.2163859,6.464580614
55000,-451.1998194,6.345976002
56000,-451.0402606,6.233667119
57000,-450.9861173,6.123567375
58000,-451.2294298,6.021979841
59000,-450.6996949,5.942689961
60000,-451.3409001,5.877884203
61000,-453.9330369,6.335291966
62000,-453.5132635,6.246393094
63000,-454.9904772,6.321466478
64000,-454.5301554,6.238914593
65000,-455.7745339,6.266966567
66000,-458.6708668,6.817145064
67000,-462.5954741,7.77745081
68000,-462.931493,7.669587289
69000,-462.9704127,7.557716713
70000,-462.922644,7.449120082
71000,-462.8502115,7.343810663
72000,-462.9277505,7.241510105
73000,-462.831745,7.142267699
