Steps,Average Return,Standard Error
1000,18.06,2.98
2000,39.22,5.91
3000,55.41,6.94
4000,69.58,7.23
5000,87.1,7.51
6000,107.59,7.24
7000,127.48,6.52
8000,145.81,5.26
9000,157.16,4.39
10000,163.18,4.57
11000,172.9,5.85
12000,182.87,6.19
13000,192.55,6.61
14000,199.31,7.53
15000,206.62,7.9
16000,221.25,8.51
17000,231.09,10.78
18000,238.74,11.1
19000,251.6,11.71
20000,263.85,11.78
21000,274.18,11.85
22000,285.76,11.74
23000,295.87,11.12
24000,301.77,10.74
25000,305.86,10.56
26000,306.78,11.02
27000,306.85,11.01
28000,324.19,19.99
29000,328.71,19.91
30000,336.56,19.62
31000,340.52,19.91
32000,335.97,19.06
33000,334.29,19.21
34000,328.26,18.95
35000,324.5,18.91
36000,321.54,19.13
37000,327.23,19.37
38000,341.89,21.07
39000,346.47,21.54
40000,364.5,24.78
41000,360.24,24.93
42000,357.31,25.02
43000,372.26,27.11
44000,382.4,28.38
45000,401.77,30.7
46000,391.88,26.59
47000,394.19,26.28
48000,391.92,26.33
49000,394.27,26.6
50000,397.72,26.63
51000,405.27,27.4
52000,406.9,27.48
53000,424.96,30.0
54000,431.41,29.96
55000,454.05,32.44
56000,466.81,33.76
57000,474.68,33.65
58000,495.12,35.12
59000,512.51,35.51
60000,527.16,35.92
61000,539.17,36.21
62000,560.0,37.91
63000,568.44,38.49
64000,575.88,39.18
65000,577.23,38.67
66000,572.73,37.15
67000,590.97,36.32
68000,592.77,35.21
69000,584.61,34.38
70000,580.43,33.5
71000,585.79,33.76
72000,596.56,33.94
73000,623.99,38.05
74000,632.29,38.19
75000,659.75,40.06
76000,673.77,40.94
77000,682.76,40.75
78000,701.63,42.56
79000,712.29,43.97
80000,715.44,44.43
81000,723.38,44.48
82000,726.94,45.62
83000,729.61,45.33
84000,721.96,44.38
85000,702.66,43.63
86000,711.82,43.08
87000,706.46,43.0
88000,704.63,43.63
89000,690.65,43.62
90000,697.88,43.4
91000,712.96,45.69
92000,693.05,44.39
93000,704.9,44.37
94000,681.84,45.61
95000,691.15,46.67
96000,698.92,47.26
97000,707.13,49.26
98000,719.99,49.4
99000,736.79,51.6
100000,742.82,51.44
101000,753.39,52.74
102000,762.27,53.93
103000,775.65,55.21
104000,791.01,56.7
105000,805.91,56.67
106000,809.94,58.11
107000,814.71,58.29
108000,798.84,56.43
109000,780.66,55.45
110000,784.61,55.66
111000,783.62,55.23
112000,776.82,53.74
113000,764.11,52.53
114000,770.39,51.69
115000,755.83,51.8
116000,757.32,51.84
117000,765.11,52.05
118000,756.37,51.74
119000,753.49,51.25
120000,759.22,51.28
121000,773.59,51.9
122000,761.48,52.51
123000,756.83,51.56
124000,766.27,52.32
125000,787.38,54.86
126000,781.09,55.36
127000,783.87,55.1
128000,774.52,55.09
129000,779.64,55.78
130000,767.89,54.63
131000,754.76,52.37
132000,724.21,51.61
133000,677.0,46.39
134000,675.05,44.68
135000,641.64,45.26
136000,645.54,45.36
137000,631.18,48.18
138000,621.19,48.43
139000,646.0,53.18
140000,638.25,53.6
141000,654.94,54.55
142000,665.08,54.58
143000,651.23,54.59
144000,667.3,56.27
145000,659.53,55.86
146000,670.33,55.78
147000,662.22,54.89
148000,661.18,54.75
149000,662.4,53.62
150000,624.36,49.37
151000,650.01,53.09
152000,651.75,53.31
153000,667.71,51.91
154000,664.95,50.06
155000,674.78,50.41
156000,678.9,50.82
157000,693.92,52.93
158000,704.63,52.66
159000,716.38,52.56
160000,721.04,52.62
161000,722.98,51.87
162000,748.36,51.95
163000,761.26,51.07
164000,760.28,48.96
165000,775.71,48.72
166000,744.8,43.95
167000,772.43,48.99
168000,801.2,53.76
169000,799.68,53.26
170000,799.5,53.56
171000,821.41,52.65
172000,828.91,52.7
173000,802.2,52.54
174000,792.36,52.9
175000,778.91,53.5
176000,784.18,54.01
177000,779.84,54.05
178000,769.27,54.38
