Time Steps,Average Return
1000,-273.1945607031277
2000,-253.61193709654273
3000,-299.9897654990389
4000,-323.19373330035035
5000,-333.0583955836509
6000,-256.5310921036785
7000,-228.48022627864813
8000,-172.95210523977136
9000,-187.12401295408458
10000,-222.53791400076497
11000,-221.76011303843362
12000,-193.49285745818216
13000,-202.69896836276573
14000,-212.92205872442258
15000,-223.1233451971979
16000,-220.40935870684996
17000,-230.7085242099683
18000,-194.20687116868845
19000,-199.17686675445333
20000,-196.31504936190032
21000,-187.25657778938927
22000,-194.35202906332503
23000,-180.8245324536673
24000,-187.09978238292106
25000,-191.64224976357792
26000,-189.2260047346597
27000,-185.66095473395217
28000,-180.06785326738728
29000,-173.87278069810912
30000,-158.7583801118934
31000,-157.8764211888698
32000,-155.87382895873571
33000,-161.7919214933979
34000,-135.41328533823523
35000,-116.76518449629779
36000,-103.61295434346152
37000,-82.77142163221647
38000,-68.94652046635932
39000,-42.31839142751142
40000,-37.95372104687358
41000,-28.606122064919262
42000,-24.462627760352873
43000,-19.579009425016526
44000,-11.71293032143144
45000,7.775641236294895
46000,19.824457183220705
47000,31.776019122958637
48000,46.54670490896516
49000,52.56982578512901
50000,63.66202235917015
51000,72.9267255058054
52000,79.94217318915722
53000,94.64934120825876
54000,98.2253051847778
55000,101.47076380653475
56000,127.07398824752353
57000,131.1518830021006
58000,151.89432411296497
59000,155.1926657358122
60000,169.33478061460804
61000,179.50153864229986
62000,203.62294886769408
63000,217.9676273644133
64000,235.70362785103256
65000,249.76333038755905
66000,269.6989418333336
67000,289.5542725070715
68000,309.0226951887934
69000,324.68922634963764
70000,331.2713394981546
71000,348.8686003160488
72000,366.91908920770726
73000,365.11854029035305
74000,383.85607556518687
75000,398.4428553198375
76000,411.4293997323305
77000,426.48531216346316
78000,426.9975763279178
79000,441.77330340921515
80000,456.32735583534077
81000,474.08525891145047
82000,479.0855749880089
83000,483.01231712290024
84000,487.96699081438555
85000,490.1579980765088
86000,489.7011363941511
87000,497.9076516917172
88000,496.8640287330191
89000,508.47853523380104
90000,523.1016854626282
91000,535.0081702489633
92000,535.6374763879751
93000,546.6237786318844
94000,553.8717078017668
95000,567.9173239251156
96000,571.792019562179
97000,587.2291421315692
98000,600.8959011824666
99000,611.1536194143342
100000,624.67296706294
101000,644.0025899378518
102000,661.3350249013057
103000,682.442535610827
104000,701.5573272884195
105000,719.769279356703
106000,725.9396396601219
107000,747.8590384838873
108000,764.7550366767365
109000,774.4387274895593
110000,790.3649470311377
111000,805.771941850837
112000,814.3767034363881
113000,837.2859005638481
114000,845.9803406057639
115000,867.3524273785844
116000,886.0040337574073
117000,912.4710569926757
118000,921.6084724315602
119000,937.6165701903557
120000,946.3446824505517
121000,963.8073916446921
122000,987.4172145272609
123000,1002.0440052852362
124000,1024.5570456215326
125000,1038.9449864331505
126000,1062.5488292569707
127000,1083.7814339768163
128000,1105.3619656997712
129000,1120.657815627658
130000,1141.5510981405498
131000,1151.4275809539552
132000,1176.5604679479302
133000,1202.1328563087309
134000,1201.6869901436664
135000,1208.5066637190569
136000,1212.3139890476546
137000,1214.24001080098
138000,1218.0314087350396
139000,1227.35876428092
140000,1248.2108221838835
141000,1267.7195144395193
142000,1288.5579284479202
143000,1309.656913349397
144000,1329.3158148727775
145000,1338.446588843331
146000,1355.153812718544
147000,1359.4529414092863
148000,1377.0655000999825
149000,1381.352016164705
150000,1393.1447293049025
151000,1399.2873873254337
152000,1408.2784958610846
153000,1407.3420155519227
154000,1428.9293170276253
155000,1438.3312261811393
156000,1440.4187403390818
157000,1455.3941827903554
158000,1465.0225685657172
159000,1477.771566476889
160000,1491.2484006849572
161000,1495.5681989757059
162000,1503.5336258143766
163000,1516.3739080076107
164000,1524.6071071035215
165000,1536.836152601858
166000,1545.9271531527827
167000,1538.6221077407224
168000,1533.0036623723258
169000,1527.9186879295091
170000,1546.421120584136
171000,1556.1515609594835
172000,1551.077690794425
173000,1556.5069579764331
174000,1565.0526561767394
175000,1577.3649980646703
176000,1590.4666466088258
177000,1603.1190574769303
178000,1606.4452617077498
179000,1599.7934175991672
180000,1602.7773568242153
181000,1592.8962534960158
182000,1611.501262504385
183000,1611.7208181810295
184000,1628.022136639627
185000,1639.8690652776195
186000,1661.2173014817242
187000,1677.5892307940155
188000,1700.8154536078155
189000,1714.589089960358
190000,1723.2218603960011
191000,1736.2301951778468
192000,1757.3070811062923
193000,1767.1293168739949
194000,1780.7664117872234
195000,1788.4707910357292
196000,1794.8783847216557
197000,1801.901913781722
198000,1803.2853022166394
199000,1796.886701338433
200000,1804.4968893931873
201000,1814.3679847539513
202000,1825.181335696426
203000,1833.96946829235
204000,1848.0346863408363
205000,1845.0553805049335
206000,1866.7002143089458
207000,1867.665256810649
208000,1876.2313311696812
209000,1893.2272887766987
210000,1911.7317893026081
211000,1905.736989198138
212000,1921.3811924424786
213000,1930.1691409337418
214000,1949.245838076072
215000,1959.1616213225657
216000,1953.0027638574848
217000,1948.9591386738432
218000,1963.5754962213216
219000,1970.111718726544
220000,1989.8993403289944
221000,2000.4930620442494
222000,1999.8950891364243
223000,2002.7626328831902
224000,2012.527091392616
225000,2024.7831194751548
226000,2018.0010977768145
227000,2027.6510841763502
228000,2017.5800912816892
229000,2030.4659630318079
230000,2037.6350082057452
231000,2056.594128216286
232000,2060.3903966415787
233000,2055.432010207724
234000,2078.9807243208024
235000,2096.680975018491
236000,2117.3613829129513
237000,2137.386497584234
238000,2159.9432450377667
239000,2159.2579586077914
240000,2167.7802808860893
241000,2173.1299221601294
242000,2172.6942084662414
243000,2180.141586663644
244000,2186.80494350348
245000,2188.482339568978
246000,2195.6372818678974
247000,2214.9465229621146
248000,2219.4977765256617
249000,2241.4866120658958
250000,2255.2450152228803
251000,2255.320500835385
252000,2253.8847412729538
253000,2278.056197923591
254000,2284.0013393546897
255000,2304.5968005434347
256000,2312.3868992290727
257000,2324.78864200785
258000,2331.1710845128023
259000,2345.6012005375073
260000,2332.262771705907
261000,2350.2689869472874
262000,2355.527138729437
263000,2361.8859974671736
264000,2362.454000785346
265000,2369.9475527156937
266000,2378.9637351772717
267000,2402.950934477607
268000,2422.5246360998403
269000,2445.0110444556285
270000,2451.122987040169
271000,2456.789694282708
272000,2477.216306851244
273000,2501.5754557560863
274000,2496.2208811418977
275000,2502.5017366577504
276000,2508.184310039847
277000,2513.889243455518
278000,2540.5980416032608
279000,2564.601973860068
280000,2576.616326291153
281000,2586.2118556120263
282000,2591.063094858005
283000,2617.6445831979668
284000,2626.7282835668366
285000,2641.537139956925
286000,2647.729386471171
287000,2651.5604677657484
288000,2658.5851514350493
289000,2663.7717353508015
290000,2652.5715654708274
291000,2654.8267200699074
292000,2661.4536798859235
293000,2669.8380087159803
294000,2675.6129086180695
295000,2683.293936650017
296000,2702.5089377097624
297000,2696.402255520291
298000,2709.215563021642
299000,2731.5289379762607
300000,2736.8821684471122
301000,2728.5148875447608
302000,2735.2604107838033
303000,2726.2513585673255
