Time Steps,Average Return
1000,-254.08381797632205
2000,-309.2051695052468
3000,-308.7728996962215
4000,-360.0794790392255
5000,-357.7246907178761
6000,-396.67988889142083
7000,-434.42792663730387
8000,-482.6976100193428
9000,-487.4473311070162
10000,-472.7269640914765
11000,-461.4138593105414
12000,-451.3924936331252
13000,-444.95382523590644
14000,-439.48185959129984
15000,-430.55489834837323
16000,-425.0611511748966
17000,-409.5044492424831
18000,-403.0225275229969
19000,-365.20133200129976
20000,-352.04521894906196
21000,-347.42588349610025
22000,-340.04818263097286
23000,-308.2541349774647
24000,-308.5967107386561
25000,-294.34690557611464
26000,-249.34532426970006
27000,-205.2105725619556
28000,-152.86516082476678
29000,-122.59519072749117
30000,-69.14143440648469
31000,-23.770823684949963
32000,26.5034105919339
33000,72.63378061008216
34000,129.34306451567284
35000,179.99477388759448
36000,218.97147479627216
37000,246.52696691506617
38000,289.42638179693415
39000,327.7241496324218
40000,369.6909483955368
41000,404.0396031455953
42000,439.23275081447406
43000,474.38753424431303
44000,511.3500310723755
45000,545.1133894532358
46000,579.5156302306069
47000,611.8541482026986
48000,642.9586457597005
49000,674.6854480664356
50000,703.3496501952194
51000,732.1935267072316
52000,757.5167787452162
53000,785.8968580205822
54000,811.0332229732841
55000,832.8729239881674
56000,857.979963484603
57000,881.6555216814634
58000,907.3555245505397
59000,932.0677681054419
60000,951.0888055341121
61000,974.0815862180172
62000,994.7173608544034
63000,1016.8539599289968
64000,1037.0616697955152
65000,1056.947038892506
66000,1079.870788270939
67000,1096.4424537431194
68000,1114.3924580413232
69000,1129.8590444205165
70000,1145.6712251066745
71000,1164.2947679970632
72000,1179.5692150912125
73000,1198.2624930057734
74000,1216.8926906503268
75000,1232.7646855573726
76000,1249.566264927936
77000,1264.669336689101
78000,1275.2326292678576
79000,1289.736648427292
80000,1304.729600685864
81000,1316.8017029098266
82000,1330.0186086705976
83000,1344.4498651747247
84000,1356.969881953591
85000,1371.049838380264
86000,1384.7942913390934
87000,1395.6925466671912
88000,1409.0512952512863
89000,1420.6912716414836
90000,1429.7382081730282
91000,1439.804477489164
92000,1450.595117757245
93000,1462.5130038996076
94000,1475.1292871231458
95000,1485.765320381331
96000,1496.0393640852124
97000,1504.6540037659822
98000,1515.1077516211317
99000,1523.6058619801115
100000,1533.234197147258
101000,1562.8801238655442
102000,1591.1271334928779
103000,1620.2689249971831
104000,1650.628240984368
105000,1679.486374239685
106000,1711.1708206356097
107000,1742.3151640272024
108000,1777.7763700944397
109000,1809.5457669928426
110000,1837.834212058195
111000,1868.6383905382004
112000,1896.8938418813734
113000,1927.2342278397264
114000,1956.8300301892239
115000,1985.0030702002716
116000,2014.2005392042272
117000,2042.5868924588065
118000,2072.949467534966
119000,2096.2789594799215
120000,2121.9613636595873
121000,2149.720453914997
122000,2176.797511978375
123000,2199.2159548615823
124000,2227.8737555146886
125000,2254.5402312220513
126000,2273.025885534278
127000,2288.9815408150944
128000,2292.5508728479876
129000,2311.418231130407
130000,2322.971546208385
131000,2336.1315747904414
132000,2348.3772968651365
133000,2359.104759270511
134000,2367.8172010962844
135000,2374.3709414600844
136000,2386.295465709346
137000,2403.5568789824015
138000,2413.7902258237896
139000,2423.598617922823
140000,2431.5969490768884
141000,2439.208628748274
142000,2449.248284481325
143000,2457.851049585659
144000,2463.73575776872
145000,2470.5150662554265
146000,2475.5939322836534
147000,2483.3084585819593
148000,2483.026658880184
149000,2490.7463919567335
150000,2498.419547088655
151000,2505.717809279665
152000,2514.4209260135513
153000,2518.5148859484507
154000,2527.2535043207045
155000,2535.0943213126507
156000,2541.8440925398536
157000,2549.509811955366
158000,2554.77016910523
159000,2560.1941925312913
160000,2569.6427593101316
161000,2574.0381954913087
162000,2581.2800385676765
163000,2583.6929948721377
164000,2588.7059463760324
165000,2596.5335220905176
166000,2601.057824312558
167000,2609.635759372121
168000,2616.5449614606973
169000,2623.1831960989143
170000,2629.5275997321196
171000,2636.1461038292014
172000,2642.908005553599
173000,2647.239614325494
174000,2651.605092659946
175000,2656.827546100596
176000,2661.9213539128664
177000,2667.176127206693
178000,2677.650917050204
179000,2683.693079818913
180000,2689.5145676549264
181000,2696.969275084852
182000,2675.584906617072
183000,2680.4655040981247
184000,2686.145714232291
185000,2692.1863914553164
186000,2698.382605110446
187000,2704.643986167856
188000,2708.9089695362636
189000,2715.7541964514567
190000,2724.537622178235
191000,2732.737596679772
192000,2738.0483785761353
193000,2743.263344340122
194000,2746.4694430028826
195000,2750.623251494327
196000,2756.5422741189786
197000,2762.1927710545483
198000,2759.578302095081
199000,2767.217899719376
200000,2771.086444892571
201000,2773.9847446911463
202000,2779.6274894344533
203000,2783.180523633515
204000,2788.165866438569
205000,2792.753594654936
206000,2798.256057304049
207000,2804.5333419731533
208000,2808.3051023692974
209000,2813.4018485738848
210000,2819.612082859483
211000,2822.233358525343
212000,2828.4082910512097
213000,2833.4754968753987
214000,2838.2657591298116
215000,2843.056982486896
216000,2847.751679839631
217000,2852.1747456649546
218000,2853.7803062571325
219000,2855.918797609583
220000,2858.367189317112
221000,2863.1321705062705
222000,2869.6239807454535
223000,2873.8650677461133
224000,2879.100687811664
225000,2883.5973708193924
226000,2886.995781994495
227000,2893.051545321204
228000,2894.6287931254005
229000,2899.982082914964
230000,2906.5755932402008
231000,2909.944509596343
232000,2914.7882683750418
233000,2920.104193214234
234000,2922.798174825539
235000,2927.40638014665
236000,2930.8511923566175
237000,2933.282198791643
238000,2921.9505078250536
239000,2923.2358725779877
240000,2908.7133552268087
241000,2916.09663673641
242000,2919.047230635963
243000,2924.376269761816
244000,2930.4761131017935
245000,2936.7378871207347
246000,2942.3841122306935
247000,2945.6504000548657
248000,2955.9811736869383
249000,2956.762272871968
250000,2960.120239108905
251000,2965.3179776922934
252000,2965.2377072592394
253000,2969.505256231181
254000,2970.90250871026
255000,2973.310513799248
256000,2976.256983191553
257000,2978.50443793227
258000,2979.93522924728
259000,2974.2114883505474
260000,2976.762250969722
261000,2981.343152598091
262000,2985.683894806539
263000,2990.0514843543533
264000,2994.421985888145
265000,2997.4617983171033
266000,2999.779825715047
267000,3002.37402659326
268000,3002.53341635657
269000,3005.9907878496133
270000,3011.806591186095
271000,3001.9785367739096
272000,3007.0126864029116
273000,3008.5948788867513
274000,3010.617921442801
275000,3012.017648437727
276000,3013.6410701257073
277000,2982.2744868234527
278000,2982.849100732134
279000,2987.9347434609062
280000,2989.8603542195133
281000,2992.2199986147516
282000,3021.618211606017
283000,3007.8375652120135
284000,3012.112558335217
285000,3012.144298541989
286000,3012.828658625952
287000,3001.2271873915242
288000,3004.399964859726
289000,3006.261619289344
290000,3009.6361540085445
291000,2990.5396172177548
292000,2994.249807407924
293000,2963.7797445268343
294000,2966.6114092044777
295000,2971.9920342295372
296000,2975.9606509587484
297000,2982.807294509245
298000,2994.8130977672495
299000,2997.912015320783
300000,3003.4850191172764
301000,3007.3174957505094
302000,3006.3097657846647
303000,3010.9867616386323
304000,3016.0919006654863
305000,3020.244573158268
306000,3022.7980231406405
307000,3024.9716903694098
308000,3028.0099706104547
309000,3030.965091180052
310000,3032.4366936758474
311000,3036.703281604676
312000,3038.543828296006
313000,3042.574882605864
314000,3045.234094466625
315000,3051.7534611067795
316000,3056.088796817383
317000,3059.5111823049806
318000,3065.47839805482
319000,3071.3677688085045
320000,3077.762523350613
321000,3067.0479653466
322000,3069.123170565999
323000,3072.087284295207
324000,3074.6139887074614
325000,3078.5403933714724
326000,3083.047423668146
327000,3085.39561861808
328000,3101.263717161027
329000,3103.33156149202
330000,3105.776874140304
331000,3111.9401259848946
332000,3112.522430030699
333000,3116.768258308408
334000,3111.9572570716064
335000,3116.281452484425
336000,3121.347117200043
337000,3123.9126529272967
338000,3141.0681030785117
339000,3148.4736733223654
340000,3169.4622326559474
341000,3172.2083148674983
342000,3151.375311005839
343000,3153.2361342147724
344000,3156.2967354519574
345000,3156.51071782833
346000,3158.8834361640997
347000,3161.8414104513718
348000,3167.038098794829
349000,3172.100407786911
350000,3175.0285395289457
351000,3175.610923298425
352000,3143.3965249141247
353000,3148.5632738159393
354000,3151.7250685242443
355000,3157.9021188207194
356000,3159.6292038786646
357000,3162.5282859218346
358000,3165.644665654709
359000,3176.5731764400866
360000,3178.736182953841
361000,3181.6902594982807
362000,3183.241407348125
363000,3188.0931126727555
364000,3187.9687782055976
365000,3190.2982216471223
366000,3192.6273705162394
367000,3194.515964995581
368000,3201.9097521138046
369000,3207.467142955577
370000,3208.2736549391925
371000,3220.915197142826
372000,3224.1121586683275
373000,3230.155870760093
374000,3236.112253195141
375000,3242.7274295226844
376000,3246.77735649585
377000,3283.7056498658094
378000,3289.3726007316836
379000,3288.6835635020275
380000,3256.9517999388468
381000,3262.279654347845
382000,3263.443428603443
383000,3284.3209930865937
384000,3288.2771248837594
385000,3291.1063207398115
386000,3297.586706764466
387000,3315.0537003957584
388000,3318.378015820618
389000,3323.9289300484006
390000,3325.600705098529
391000,3350.341921754996
392000,3355.462351247741
393000,3391.9407832217844
394000,3395.886944726783
395000,3395.8122619426563
396000,3399.161095582411
397000,3398.2895057436544
398000,3398.5324882228183
399000,3401.181219001897
400000,3401.2701040266893
401000,3404.820201602573
402000,3411.81590781222
403000,3415.224090757272
404000,3416.0053350692815
405000,3418.2740708418355
406000,3420.646596750064
407000,3425.3876390046844
408000,3427.4460735366592
409000,3431.7678463144584
410000,3437.5374617468087
411000,3438.8518817790014
412000,3443.692641846384
413000,3444.3289381897753
414000,3448.350640929761
415000,3448.8773190726265
416000,3449.760188703151
417000,3451.0733068789214
418000,3453.1379143943886
419000,3456.0916563603982
420000,3458.331584350806
421000,3477.1587957625625
422000,3481.5520836634137
423000,3483.8664641329688
424000,3489.5131897076462
425000,3490.9495116289395
426000,3494.357548892838
427000,3496.9374124132646
428000,3500.0778942289703
429000,3502.85223365766
430000,3496.840147356093
431000,3499.852108948983
432000,3505.917904545184
433000,3507.7661643741776
434000,3520.645350581341
