Time Steps,Average Return
1000,-351.1154116855261
2000,-405.0682738587584
3000,-375.0656087525008
4000,-310.42615405352876
5000,-300.81983861971423
6000,-285.56742858560057
7000,-255.7487802700247
8000,-239.27207175242637
9000,-163.60894014688182
10000,-72.71360124048019
11000,-6.653505361010358
12000,61.60679298981024
13000,114.33138784241497
14000,166.10340391014967
15000,205.28065131450168
16000,242.0496259482637
17000,286.1523043722411
18000,318.329119633566
19000,353.1089376315148
20000,386.01057661957685
21000,416.686872339805
22000,451.6563513619869
23000,473.5072011308511
24000,498.5961834984658
25000,523.3156296020362
26000,546.7533708808488
27000,562.2802456810658
28000,586.2182440370262
29000,613.0451216408289
30000,640.0334624579676
31000,673.6689658805607
32000,697.5621996505473
33000,723.0199653923793
34000,717.8774895714683
35000,707.3776616407197
36000,731.7515340107597
37000,753.5329459732103
38000,779.7839736792785
39000,810.7303897823336
40000,840.3069784779473
41000,866.4452727817878
42000,893.5862329561986
43000,921.5946847409404
44000,945.5680442122649
45000,968.5163354143866
46000,994.3604706875278
47000,1015.4787465726512
48000,1048.2653538002312
49000,1067.3809022309695
50000,1093.814892354011
51000,1111.7139966756874
52000,1134.140300592482
53000,1148.9359425651546
54000,1174.0163750164459
55000,1195.1995962676174
56000,1203.0918928216465
57000,1223.9673546620281
58000,1246.4128319457338
59000,1263.1327621771354
60000,1284.6309187189952
61000,1302.4609424256125
62000,1289.4675352157312
63000,1309.3134695185165
64000,1326.7227388700662
65000,1342.849224432028
66000,1361.530895257509
67000,1375.6715435065146
68000,1389.4956159841024
69000,1385.071606317567
70000,1404.6653802169221
71000,1418.5793099531863
72000,1434.3758823118892
73000,1449.6253943420033
74000,1466.7524819309265
75000,1484.2488581068633
76000,1498.1112600198023
77000,1513.7214771166534
78000,1523.465000164756
79000,1535.947610920198
80000,1549.7400616868679
81000,1564.352143633668
82000,1578.8093956007535
83000,1592.9111499793748
84000,1606.444318041284
85000,1623.249694999752
86000,1635.0236213326773
87000,1650.4582316060503
88000,1664.6516787971937
89000,1677.7858254124765
90000,1696.2979558477648
91000,1707.7923390934595
92000,1718.5335758172134
93000,1732.9938771149648
94000,1745.3475384277153
95000,1757.9148143838277
96000,1770.3332353590934
97000,1781.5836816137182
98000,1761.4822044779
99000,1764.4474128715144
100000,1775.9916078863796
101000,1809.8603915842398
102000,1845.8178491188953
103000,1879.8457850862633
104000,1913.312941888915
105000,1945.8189985629087
106000,1977.7559907712262
107000,2006.1048868581126
108000,2037.6304005803188
109000,2064.264294123184
110000,2087.383510601449
111000,2080.1165410576646
112000,2101.623791249454
113000,2124.605751075787
114000,2150.428372641404
115000,2174.78895424034
116000,2197.2418661130564
117000,2217.9574932901282
118000,2243.1478639729553
119000,2263.6525873874616
120000,2283.1760498643516
121000,2304.7585282049863
122000,2327.3134171313905
123000,2350.482082548897
124000,2371.4646003034322
125000,2391.132525562284
126000,2414.2011223308896
127000,2416.0252989601645
128000,2434.600410319794
129000,2454.557620643311
130000,2472.6506763385128
131000,2479.187470022962
132000,2497.7223656349443
133000,2516.8671664550775
134000,2544.321166522452
135000,2574.4095068813067
136000,2591.340371787765
137000,2608.5698941134397
138000,2625.619224305317
139000,2638.8527037203453
140000,2651.1195068131615
141000,2664.5658144651125
142000,2676.1553285989376
143000,2689.7491180635275
144000,2706.4815531169365
145000,2719.985750530918
146000,2733.0364723804687
147000,2740.502438103319
148000,2749.95170810484
149000,2763.764700300623
150000,2775.8180769311775
151000,2789.009832331907
152000,2799.0229102302665
153000,2813.3403332210623
154000,2822.6303043515713
155000,2830.6273630723567
156000,2848.4161839313606
157000,2858.489787992074
158000,2865.0914918062945
159000,2874.428237289876
160000,2884.267824262214
161000,2893.007708983365
162000,2921.750441220816
163000,2931.0587931664313
164000,2939.7199889100016
165000,2948.8342023491855
166000,2956.0499032510306
167000,2968.153571462132
168000,2977.265126485843
169000,3000.9355598461884
170000,3007.5505096020906
171000,3018.0229814394884
172000,3025.2343390767805
173000,3021.667272842207
174000,3026.508025354375
175000,3032.7866117758185
176000,3041.6665992168005
177000,3048.406238444988
178000,3059.6659911641354
179000,3068.5484542477298
180000,3077.0252784004238
181000,3053.1952468420805
182000,3061.7607064446875
183000,3051.2535665200853
184000,3059.3443129324187
185000,3064.9059370104474
186000,3073.0914439038543
187000,3077.0431841816726
188000,3083.7094601521003
189000,3091.738236526553
190000,3091.194234177073
191000,3101.2184304902157
192000,3110.200607590783
193000,3115.5103376089396
194000,3120.768191324669
195000,3127.3350122217003
196000,3130.093610014876
197000,3111.2671670355585
198000,3139.6819870788418
199000,3153.3662739684605
200000,3159.7018176155166
201000,3153.3159429968528
202000,3156.177744343042
203000,3162.047193339764
204000,3167.456205369818
205000,3168.767743189403
206000,3176.0814667860973
207000,3184.893262034594
208000,3188.984234975779
209000,3194.098378567037
210000,3200.5088467493088
211000,3238.41547024472
212000,3245.233735449515
213000,3250.272390234641
214000,3254.5500094389795
215000,3257.0502185457235
216000,3259.556854300334
217000,3260.998234253829
218000,3263.38605141474
219000,3269.062685824033
220000,3277.6331534650044
221000,3283.167481718231
222000,3286.2419392310712
223000,3286.4429918721808
224000,3287.831027407131
225000,3291.547943088276
226000,3293.3494435652333
227000,3317.359988376467
228000,3325.6755809812503
229000,3322.7525954016032
230000,3328.6148246338976
231000,3341.7201717410276
232000,3343.5347703293983
233000,3347.852778943766
234000,3350.4446443324377
235000,3330.6105186705645
236000,3334.8405857169437
237000,3339.3110409803594
238000,3341.6101168987034
239000,3345.0728074058516
240000,3350.6722877505144
241000,3353.723029860044
242000,3359.4393115280895
243000,3361.013808918978
244000,3360.6544301603803
245000,3363.5996599293444
246000,3366.608816181699
247000,3376.2748539423274
248000,3376.026614556048
249000,3378.29733930348
250000,3369.007813789882
251000,3370.1411112343417
252000,3371.937706628735
253000,3375.1787169346067
254000,3379.4777613527167
255000,3386.016379168298
256000,3389.4801358133573
257000,3390.3966651611777
258000,3394.112022093312
259000,3400.405589157496
260000,3398.433679597436
261000,3404.3747345838924
262000,3408.352250474225
263000,3411.7828556588356
264000,3417.0375981595494
265000,3401.199454035107
266000,3406.011628326064
267000,3407.6815600751165
268000,3411.5053815772726
269000,3415.8079931584043
270000,3419.0446560852397
271000,3420.899502440615
272000,3423.2579449905506
273000,3437.65203024866
274000,3444.731692863719
275000,3448.229963595256
276000,3451.241481091618
277000,3454.528938399894
278000,3459.06662470707
279000,3463.9282208398026
280000,3467.276492442109
281000,3503.9374229500118
282000,3503.2786138181636
283000,3524.094503425032
284000,3528.235484048687
285000,3524.3383640093616
286000,3530.741954932212
287000,3535.777472090092
288000,3537.2544947650667
289000,3540.7865652804426
290000,3546.745214007374
291000,3550.6156358464905
