Timesteps,Average Return,Standard Error
1000,-774.3111020330236,0
2000,-592.8590063192416,0
3000,-590.8141547622298,0
4000,-629.5793253529695,0
5000,-650.4891146961838,0
6000,-636.0066446255177,0
7000,-636.5653101981699,0
8000,-651.9983489995689,0
9000,-644.37525351865,0
10000,-651.0983651258688,0
11000,-664.5256252374834,0
12000,-676.801673643772,0
13000,-687.9343003358675,0
14000,-702.488251060362,0
15000,-707.4042236582143,0
16000,-707.7260763148605,0
17000,-708.1009866441746,0
18000,-711.0545232406613,0
19000,-717.8290197828165,0
20000,-721.1930648176888,0
21000,-727.567578853457,0
22000,-735.8699736085349,0
23000,-736.2195916639499,0
24000,-739.548709985865,0
25000,-739.8158019674797,0
26000,-748.6544956115291,0
27000,-755.4050913242215,0
28000,-752.5261552671412,0
29000,-754.1980234849492,0
30000,-760.2522541846514,0
31000,-763.3043692246436,0
32000,-771.4027759168441,0
33000,-769.6052609343407,0
34000,-768.8149465160319,0
35000,-774.5880135293186,0
36000,-778.0712581910427,0
37000,-786.17145384939,0
38000,-794.3921919232133,0
39000,-804.1896054516774,0
40000,-812.5981878699367,0
41000,-816.7897273756006,0
42000,-819.6320806462801,0
43000,-821.3821159276839,0
44000,-823.4304678782108,0
45000,-828.3117920771039,0
46000,-830.2031356646891,0
47000,-836.1030131890315,0
48000,-843.9856529433997,0
49000,-849.9833790493435,0
50000,-853.6571998331507,0
51000,-852.9039486232235,0
52000,-858.568910415234,0
53000,-864.3595723502693,0
54000,-865.554993795022,0
55000,-865.4949387830106,0
56000,-868.0914622346432,0
57000,-868.9378552436152,0
58000,-871.8936640184946,0
59000,-874.360572070745,0
60000,-879.3035838795245,0
61000,-883.8961710886301,0
62000,-885.0018074404537,0
63000,-889.4211646104611,0
64000,-892.989289073798,0
65000,-897.713370384467,0
66000,-901.0893333264372,0
67000,-906.473614668918,0
68000,-910.8124596459556,0
69000,-917.2092303464292,0
70000,-923.8540113470809,0
71000,-927.4303995560175,0
72000,-933.834633189635,0
73000,-938.0122595818615,0
74000,-943.0567631566076,0
75000,-947.0903721717881,0
76000,-953.8365971301079,0
77000,-956.1793635557224,0
