Timesteps,Average Return,Standard Error
2000,-734.7999906667138,0
4000,-774.5345401358206,0
6000,-792.7700915459098,0
8000,-806.9085970082153,0
10000,-801.4001631627361,0
12000,-792.9872913037311,0
14000,-792.8421007031463,0
16000,-799.3674498243928,0
18000,-790.3662355451386,0
20000,-793.8137566731895,0
22000,-800.2676266047488,0
24000,-796.3568573419974,0
26000,-796.6055728029728,0
28000,-801.4487266362943,0
30000,-798.2676468690221,0
32000,-799.731122935727,0
34000,-800.3112243454812,0
36000,-798.5041605753836,0
38000,-801.2313421189353,0
40000,-804.4044400281116,0
42000,-805.8632401527555,0
44000,-806.9405992645839,0
46000,-804.8148245339319,0
48000,-807.7751789124749,0
50000,-813.4849172531243,0
52000,-814.0347276473217,0
54000,-816.2918291991838,0
56000,-817.213627622961,0
58000,-820.7358068140433,0
60000,-821.5734631855036,0
62000,-822.3371553489625,0
64000,-821.9459058960186,0
66000,-819.9787393210087,0
68000,-819.3130520029924,0
70000,-820.7069378379442,0
72000,-820.8007344639223,0
74000,-821.0658636062826,0
76000,-821.1175021951054,0
78000,-821.8207101779558,0
80000,-823.1054791932856,0
82000,-823.001838504474,0
84000,-824.1517133736968,0
86000,-824.9855204081251,0
88000,-824.911710354701,0
90000,-825.3174683979331,0
92000,-826.4815949907272,0
94000,-825.7938317361555,0
96000,-825.6646052772627,0
98000,-825.9553312657308,0
100000,-826.5097643940504,6.492313135681128
102000,-829.4627103892002,6.4066745919929575
104000,-829.069054250545,6.423695527283978
106000,-830.4383668446873,6.432320598862029
108000,-831.4963076633086,6.502197090890919
110000,-834.1522911537811,6.5732188078744285
112000,-836.4062950004613,6.4263175365987575
114000,-838.2923553184414,6.603855171908937
116000,-838.1133106205209,6.572030049563887
118000,-840.2490514584526,6.398397127351446
120000,-842.2868743815976,6.526542528330161
122000,-841.5158527307249,6.655225272377196
124000,-843.2122762378041,6.413604826957387
126000,-844.4086005195584,6.369809197336512
128000,-844.6407715727348,6.459385736955008
130000,-846.2996286884885,6.3204141859004555
132000,-846.8130876363912,6.309804406988696
134000,-846.9927789901544,6.305820804777861
136000,-849.2212826774027,6.201540035599836
138000,-847.4504337247579,6.396922768170364
140000,-846.6537381821394,6.447297665469762
142000,-846.9357936155787,6.435699566856789
144000,-845.6327001954858,6.512949025250154
146000,-847.8282168153743,6.388211511243093
148000,-847.3168865051375,6.425705685901076
150000,-844.7511491955989,6.1452002631337574
152000,-847.4972902186425,6.780581076311956
154000,-848.0262954111147,6.727301317315499
156000,-847.4507342965796,6.824261632877295
158000,-845.8413988351604,6.7425265009682676
160000,-846.4118225349821,6.74433225657238
162000,-847.0600341051236,6.634984117329924
164000,-847.9212801536477,6.613262302304636
166000,-850.0483834278441,6.51661824043332
168000,-851.705501470509,6.4114007472391545
170000,-851.6376447663976,6.3862811734954965
172000,-853.4747757713333,6.373478725528886
174000,-854.1629086506975,6.378942144538164
176000,-855.1695875752582,6.416798174553411
178000,-853.8631172945522,6.539270397056134
180000,-852.2208945654585,6.6100282603129354
182000,-853.3648668626666,6.605796339078786
184000,-852.9855854741461,6.598893309929933
186000,-852.9350085418047,6.6082085308832035
188000,-854.8129728639923,6.687762587812881
190000,-856.1024844025234,6.7829442213201245
192000,-857.946010709814,7.020134954988265
194000,-861.2668389135309,7.101594795060938
196000,-860.8689665146771,7.139670092414136
198000,-860.6760691548205,7.222996144474306
200000,-861.5251172173183,7.2394037615901015
202000,-862.0231103849451,7.136392076889988
