Timesteps,Average Return,Standard Error
5000,26.89228737167119,3.142929339273393
18000,40.36674585989077,4.144196367123362
31000,47.24168763243907,4.585685770318911
40000,43.62993889790888,4.341274513656776
46000,56.88747906328781,4.792999059707199
47000,54.212797486519705,4.408473947100757
89000,70.71072948264225,5.98809421158733
132000,108.160495382473,7.862344944753239
150000,121.87329888280581,6.744070542236942
354000,125.81059709354871,8.679901233783273
450000,128.4881095869862,4.571858382713458
472000,140.53735089504718,6.032308561990044
522000,179.86764338371486,10.338028023669418
562000,119.43567306210278,12.416481812155936
599000,70.0546949031648,7.279459649513204
801000,238.99518574080258,11.345635617743131
953000,255.8053188262643,12.71432986181453
995000,274.2325489472065,8.70073813372398
