Timesteps,Average Return,Standard Error
12000,11.284311520203783,0.7279967034213684
25000,10.98433439178833,0.9797241217564766
59000,11.271179959214642,1.1320589156226033
61000,11.280198650927861,1.204192440045387
68000,18.461723993397428,1.9698711714690766
96000,21.7402744149076,2.210939161698419
109000,32.84429567904715,3.143782625342534
167000,48.73412057163052,3.9434660508593034
199000,29.43130138641284,2.8032128205377362
217000,25.918443219248793,2.3576226240692937
258000,39.78182792828497,3.4277845576960866
332000,58.860129730079514,4.099234379785918
382000,66.2463816014426,5.095877392999923
445000,71.26320324780518,5.372226792752928
472000,68.9073170078378,4.444083993845903
490000,67.16881238301671,4.638881139901917
544000,84.56650662076976,5.441705179556417
630000,88.39359220562727,5.331870616085116
735000,79.81441697391007,5.156356423166361
891000,94.56797629918728,5.275661064095315
941000,114.48226707596795,5.8139984252374015
