Timesteps,Average Return,Standard Error
46000,13.124707816518987,0.9089431208275254
47000,14.406612480322162,1.2550266623675084
48000,17.70680978656351,1.5873934009021877
188000,31.341970399582703,3.0505086540753075
234000,54.54160157854409,5.20637444422785
252000,64.06567713533983,5.350758813258614
306000,77.53334972871079,5.393309451785726
365000,86.41931185508454,4.881392594885359
391000,97.46782892736874,4.073020451908436
455000,103.89916015104559,4.899524960883006
524000,102.88167266523955,4.897770401996584
529000,116.86981427963917,5.180421451093315
538000,120.28922140936987,5.184960828811853
563000,113.1126901022363,5.012798050557084
670000,129.47424653180113,5.188710380053781
763000,132.93370001420652,4.785967358756975
817000,145.16835306592105,5.02797664845739
843000,153.0861900346314,6.13313282588376
916000,147.88856150388727,5.073459548408978
971000,157.28970404545828,5.04844850641974
