Timesteps,Avg Return,Std Error
1000,-425.5186706332503,0
2000,-443.3827676146259,0
3000,-351.6986230805449,0
4000,-344.56069446796414,0
5000,-346.9549535794198,0
6000,-338.76541671266455,0
7000,-346.24957611083795,0
8000,-326.89947723683764,0
9000,-335.6135280675104,0
10000,-339.744863058109,0
11000,-346.37642478881804,0
12000,-346.18294493964277,0
13000,-347.3252277473567,0
14000,-354.99695694438134,0
15000,-350.18656700620176,0
16000,-345.7027179820948,0
17000,-341.41168720844087,0
18000,-347.1063894400342,0
19000,-351.33514089695274,0
20000,-352.80098652230737,0
21000,-348.36476212324294,0
22000,-347.7162818704103,0
23000,-345.88083503915897,0
24000,-343.8936108625455,0
25000,-345.8774736734882,0
26000,-349.1926031860618,0
27000,-349.06546771190966,0
28000,-345.36965254995386,0
29000,-345.9419268293127,0
30000,-347.1939957050472,0
31000,-349.3286449827256,0
32000,-344.56660177970156,0
33000,-342.37534998643446,0
34000,-343.737003010118,0
35000,-344.2184099234571,0
36000,-345.5147994205332,0
37000,-341.64224147546673,0
38000,-339.17573864617964,0
39000,-341.4952206444371,0
40000,-338.79394144228047,0
41000,-337.50034324079274,0
42000,-337.18322755409525,0
43000,-336.3637833508042,0
44000,-337.08428312575165,0
45000,-336.7407451757515,0
46000,-337.8030079291135,0
47000,-338.1812553363267,0
48000,-340.7199070432821,0
49000,-341.3910827400162,0
50000,-343.8711619639169,0
51000,-345.49520841050344,0
52000,-345.009924942435,0
53000,-347.7108165951399,0
54000,-347.3876928202904,0
55000,-347.01056201498875,0
56000,-347.9948875281299,0
57000,-348.6662767001634,0
58000,-350.1326083780582,0
59000,-349.5801509658643,0
60000,-350.3498568319143,0
61000,-350.8436739354418,0
62000,-351.2993557922742,0
63000,-349.5629969666937,0
64000,-348.4396954490236,0
65000,-348.18545045487343,0
66000,-349.00350319202016,0
67000,-347.5386551511646,0
68000,-346.9828777818743,0
69000,-345.3272238148729,0
70000,-346.24984592477267,0
71000,-346.1570025399521,0
72000,-346.4145443764471,0
73000,-348.1324415890581,0
74000,-347.87989431020543,0
75000,-348.0063135457837,0
76000,-346.78212355567786,0
77000,-346.5779879235442,0
78000,-347.28084921581325,0
79000,-346.9243876889433,0
80000,-346.6999986097759,0
81000,-347.0271246854445,0
82000,-347.3740853048683,0
83000,-346.45511334770447,0
84000,-344.5741146659663,0
85000,-344.1402637722435,0
86000,-345.055124588967,0
87000,-344.6489482463363,0
88000,-345.0403125565774,0
89000,-344.65285692502914,0
90000,-344.7203422213973,0
91000,-345.2371176735466,0
92000,-344.82100614780467,0
93000,-342.21625860518884,0
94000,-342.2032537126185,0
95000,-342.18926032021955,0
96000,-341.57405509193364,0
97000,-341.66451390335595,0
98000,-341.5296856235277,0
99000,-341.86549495017476,0
100000,-342.4904029533654,7.2318975410836215
101000,-341.9638005634707,7.190300503958286
102000,-340.0327209346478,7.1263803774716665
103000,-340.93005041577965,6.964264010275836
104000,-339.8106573213146,7.080932863543692
105000,-338.68595916084973,7.1425330008332395
106000,-339.4525185059748,7.139394676170133
107000,-339.8192551808094,7.175188336677728
108000,-341.17627470179053,7.0199417478417745
109000,-341.0154795070786,7.0070592651514
110000,-341.2084599683843,7.019569257016343
111000,-341.067373775131,7.006593457964203
112000,-340.906244962229,7.007740575653569
113000,-340.4098837545564,7.010887221241537
114000,-338.6559763576687,6.941746948043713
115000,-338.83342805248395,6.929713994347286
116000,-338.4737545731841,6.9701800443466055
117000,-339.38047503680434,6.943022624951439
118000,-340.11369759206127,7.090187813333872
119000,-339.3627962461648,7.036854306856685
120000,-339.39991869695154,7.0391290654351355
121000,-339.9636994349641,6.997475916913578
122000,-340.11220566408997,6.997791186695897
123000,-340.5100419530804,6.98930473178397
124000,-341.5340632544617,7.001551931371074
125000,-341.1772947869789,6.984054285200129
126000,-340.5278209938434,6.929210112263668
127000,-340.2418891931458,6.932890565242897
128000,-341.89180171984697,6.901910699693525
129000,-341.992570701394,6.905568802631976
130000,-341.49754166659034,6.893366123197735
131000,-338.8673454623196,7.11242396372532
132000,-339.8083561342853,6.9851398826284115
133000,-339.8980831635243,6.977028228130456
134000,-338.7462356798961,6.99062343644931
135000,-338.7414148592904,6.990474469076159
136000,-337.95151556926174,6.975716231961448
137000,-340.50271363314823,6.941116694832866
138000,-340.39669875924767,6.956043483540883
139000,-339.63769729850424,6.899435858456485
140000,-339.6269255417184,6.901101932130752
141000,-340.0256625423289,6.88135203625774
142000,-340.30242201743283,6.880489456962527
143000,-340.7147152156924,6.869726955657431
144000,-339.73728121856834,6.899586567929397
145000,-340.82663599675436,6.955897450596398
146000,-341.5496272716418,7.039139397738903
147000,-341.90958747160096,7.055407230453771
148000,-340.4857022650027,6.958589041746715
149000,-339.6754756934512,6.966716615702277
150000,-338.51868629272593,6.8521018106741085
