Timesteps,Avg Return,Std Error
1000,-430.2196560191386,0
2000,-363.85866006138986,0
3000,-358.38568944421985,0
4000,-365.4146592316884,0
5000,-370.36543752070736,0
6000,-355.316332571321,0
7000,-359.7976979752196,0
8000,-375.7190172111624,0
9000,-371.8631639462051,0
10000,-381.8528741077761,0
11000,-374.7231839172902,0
12000,-364.8807063253842,0
13000,-360.16647176855037,0
14000,-353.4935383322406,0
15000,-345.5162389112268,0
16000,-354.7802936291463,0
17000,-354.8783779948731,0
18000,-354.6512108631826,0
19000,-354.1512932461359,0
20000,-354.52809056252295,0
21000,-351.44988293491195,0
22000,-353.52280530254126,0
23000,-354.32372765084887,0
24000,-353.36742085074667,0
25000,-349.569233716641,0
26000,-351.5410490542972,0
27000,-352.20429392108827,0
28000,-351.68208848352367,0
29000,-352.2163903390085,0
30000,-352.8731816343667,0
31000,-351.4047877143428,0
32000,-353.3434890567411,0
33000,-356.055495254477,0
34000,-359.55251204704524,0
35000,-359.69352819394874,0
36000,-357.2402928289837,0
37000,-357.5933026536593,0
38000,-357.1395613408684,0
39000,-358.5887432683497,0
40000,-360.85547178978914,0
41000,-358.6372544128231,0
42000,-355.98885876919655,0
43000,-356.49007073944205,0
44000,-357.29749274349484,0
45000,-355.4102629845012,0
46000,-355.48232067235944,0
47000,-353.84867132556883,0
48000,-355.34509177345967,0
49000,-353.98219926519977,0
50000,-352.6766437825888,0
51000,-352.6037261001304,0
52000,-354.7012238837799,0
53000,-357.70371415711577,0
54000,-357.333316716403,0
55000,-355.57212061293274,0
56000,-355.88536867816504,0
57000,-354.17716177281125,0
58000,-352.4177098421106,0
59000,-352.78627081755883,0
60000,-352.6348308518734,0
61000,-351.2529176606918,0
62000,-348.79408139067573,0
63000,-346.8287125746481,0
64000,-347.86628751985756,0
65000,-348.8714250284439,0
66000,-348.7447268549081,0
67000,-348.8315595175724,0
68000,-349.2456034341493,0
69000,-349.7323269370547,0
70000,-350.455926953298,0
71000,-348.24454910322146,0
72000,-348.1991551378512,0
73000,-349.78074231284756,0
74000,-348.44621707858784,0
75000,-348.7591017965247,0
76000,-350.0842481210195,0
77000,-348.5414427031327,0
78000,-347.1427906080749,0
79000,-346.60800394985137,0
80000,-347.1371096365873,0
81000,-348.1489187791719,0
82000,-348.26582250798583,0
83000,-349.403661562144,0
84000,-347.17000013692603,0
85000,-348.12787938764683,0
86000,-348.5467768151671,0
87000,-347.93949144682193,0
88000,-348.3536300323099,0
89000,-348.34036488774655,0
90000,-348.1182705573247,0
91000,-345.91464374008416,0
92000,-345.65513589780306,0
93000,-347.29475345036184,0
94000,-347.42015908393637,0
95000,-348.12586284241394,0
96000,-348.0752880189713,0
97000,-348.15631756201935,0
98000,-349.0827634747159,0
99000,-349.7194106464787,0
100000,-349.52919623520194,7.578005834852226
101000,-349.2029559229577,7.550168953809807
102000,-350.21968143483855,7.54831391133668
103000,-348.82819284388273,7.679276392029044
104000,-348.23843032620175,7.672760952585692
105000,-347.8769949994091,7.661428668400923
106000,-348.7382875082396,7.633077790615087
107000,-349.71525891062686,7.742756576550366
108000,-348.9492974011122,7.643653277592646
109000,-349.25446662045914,7.646516494218505
110000,-348.60406619136506,7.569309646419491
111000,-349.9507400280667,7.607433788245072
112000,-350.4036722058388,7.565093238640033
113000,-350.416520916646,7.564309003127676
114000,-350.3998512184224,7.566170843983286
115000,-352.0232850899299,7.488082925832766
116000,-350.9609796616641,7.360546271284699
117000,-351.5370546168729,7.3871104436375035
118000,-350.9663634186243,7.409478133492532
119000,-351.1961224105417,7.4112018616465125
120000,-351.15422868945177,7.410726032473039
121000,-351.398155796777,7.394515860181933
122000,-350.3158818437138,7.406093581550924
123000,-349.65558403924996,7.415944657536452
124000,-348.89339418791917,7.4732900979325265
125000,-349.9763801579972,7.419663697652114
126000,-349.7844905074199,7.40895893189096
127000,-348.760574196499,7.451704753480482
128000,-347.424131775818,7.589130202492508
129000,-346.22847614668876,7.651002868880593
130000,-345.482133400463,7.6619714526759
131000,-345.55921948956,7.658518448272803
132000,-344.1822169672952,7.659017581715483
133000,-343.3970965210761,7.597475913071081
134000,-342.43497459543835,7.49043290895023
135000,-342.14916359375457,7.48741583098155
136000,-342.75125852992073,7.454398593556107
137000,-342.50274984672876,7.449313198540054
138000,-341.9538777058125,7.47088578444346
139000,-341.4516967990302,7.439330133653577
140000,-340.33817476822804,7.360045756959073
141000,-341.49716457360205,7.339451901478284
142000,-342.26650078072765,7.280503957276568
143000,-342.0736892593398,7.273686541011254
144000,-342.006128841092,7.269357009498977
145000,-345.6245833459827,7.79528606124065
146000,-344.9744497850247,7.811183800211381
147000,-344.4694801576681,7.869965713574212
148000,-343.0269572309477,7.851977716804775
149000,-342.52655162669083,7.902311913184121
150000,-343.5114373984584,7.895990161156602
151000,-343.1753435522671,7.90075186590107
152000,-342.2344791352669,7.814629714559361
153000,-340.27435161094485,7.625287446510216
154000,-339.62121796513634,7.6551240915377505
155000,-339.51033490103845,7.667374585022988
156000,-339.26509867089334,7.66050622638131
157000,-338.81656689784205,7.720549280130657
158000,-338.37747872613363,7.781967731321484
159000,-338.6444114850181,7.798756815563138
160000,-338.32566955922243,7.803137866871642
161000,-339.042266506592,7.771375646813583
162000,-341.75647383777954,7.750798350510843
163000,-342.3136249663928,7.686410027079184
164000,-340.78225858870763,7.6961318034977095
165000,-341.3673505883562,7.7728230084510415
166000,-341.73133196498895,7.780854013660596
167000,-341.179959359114,7.79109527316785
168000,-340.7410594399875,7.783158883444578
169000,-339.67614624467177,7.7976823907868935
170000,-339.0633725261563,7.773775132772483
171000,-341.20670001443955,7.6640374259329365
172000,-340.7702485865303,7.6741872981246475
173000,-341.0620072894386,7.726220073228802
174000,-341.16055072661226,7.715350991492677
175000,-339.74506630711994,7.787144598194649
176000,-338.4079141939713,7.712025189332254
177000,-339.3639562723365,7.637538236878191
178000,-340.4117105103305,7.571329095337214
179000,-341.03100319756857,7.5673511405469736
180000,-342.0401085666004,7.696736129332065
181000,-340.0746466054765,7.722832955936949
182000,-340.42289438837093,7.738553893825556
183000,-339.43421698564975,7.67009879110253
184000,-340.46398352883784,7.49808660562343
185000,-338.3995941907737,7.536701649689954
186000,-337.79513984281965,7.523992660820244
187000,-336.83700543612497,7.637127389950311
188000,-334.54098204679343,7.833348905986308
189000,-334.8733908877327,7.845681988638947
190000,-334.76258081227076,7.8473775838792275
191000,-337.7565854880281,7.697255399390789
192000,-337.77768656282626,7.69685316973915
193000,-336.022017290051,7.527433227909052
194000,-335.9312510441786,7.5251939618027395
195000,-334.3235813241346,7.527434450694675
196000,-333.46347256933814,7.565761630823322
197000,-334.1598670757028,7.617994999705435
198000,-333.57052302964235,7.559270831960726
199000,-332.4499010190572,7.524993770925924
200000,-333.67676180364833,7.620543238004418
201000,-332.49835798375085,7.611897516596812
202000,-332.0435869717427,7.585467932131403
203000,-333.3319179473547,7.482902766024817
204000,-333.8053187451513,7.49404590631229
205000,-333.8645604137369,7.495875899446306
206000,-334.1562539018294,7.5140555511465
207000,-331.7607287911196,7.412472303946774
208000,-332.0322026803543,7.446180990460587
209000,-331.7612039758569,7.436680881391479
210000,-333.31547944657774,7.747643275791536
211000,-331.9502869352182,7.68181238458701
212000,-332.92704511004564,7.705053570317739
213000,-332.5942941880332,7.7242550807986845
214000,-334.6497105863706,7.814802724820433
215000,-334.1042906208333,7.790666259041788
216000,-333.8610210831496,7.777739170320163
217000,-333.35559423149965,7.741800971173026
218000,-334.0288785411636,7.736313321666602
219000,-334.13011904177773,7.7414298784867865
220000,-334.0071521548957,7.738684450518972
221000,-333.5652165979275,7.762407317893297
222000,-334.25751125274587,7.753064099098042
223000,-335.2377923006509,7.778538223417895
224000,-336.24886333859865,7.7393977982335205
225000,-336.02075826401125,7.7337453395582285
226000,-335.3164787019266,7.723936004820665
227000,-336.30685627459906,7.699232046817334
228000,-338.1579145094362,7.60065052454939
229000,-337.5055259659327,7.705366626458444
230000,-336.80230635154976,7.773539266770591
231000,-336.37594604031204,7.797003634812339
232000,-337.0850661335249,7.773748604254213
233000,-335.8175354170478,7.831418704654217
234000,-335.8816638849597,7.835192639898885
235000,-336.2834410569677,7.845397233799668
236000,-335.93585215869535,7.855095121695271
237000,-336.6986130716063,7.900864380709399
238000,-337.4827694069044,7.888529007680764
239000,-337.7449620485789,7.901459425767511
240000,-336.9308538486153,7.942706632100699
241000,-336.9626129246376,7.944723580080018
242000,-337.90971805957156,7.985457970173489
243000,-339.195583650572,8.119593879022501
244000,-338.48098242023946,8.110178223926026
245000,-336.3396918197965,7.592700708034647
246000,-336.71859442823717,7.580778149625163
247000,-339.07022040639475,7.605216517164484
248000,-339.36665788522805,7.588448327305907
249000,-340.83924509134295,7.534012770125406
250000,-340.3179422213882,7.519780621957892
251000,-341.3785918650857,7.5585151311557865
252000,-340.5425568862009,7.575281524922548
253000,-339.1509592891658,7.7417355313106295
254000,-340.453528606183,7.737890182492288
255000,-339.5783472189776,7.888431924426963
256000,-340.01834561137593,7.905588308652851
257000,-341.9665654402901,7.831514928138711
258000,-343.80346464300254,7.730427442745976
259000,-343.79348027557097,7.729696918516839
260000,-345.41722184833947,7.8307239042126
261000,-346.8842643138685,7.95562181717569
262000,-346.82003181952774,7.945914192881775
263000,-347.91629206993554,7.929528835301123
264000,-348.10582374255347,7.910758455932587
265000,-346.5626473770496,7.818109462678384
266000,-346.4374032560606,7.814240497545816
267000,-348.1922815153395,7.903236320120359
