Timesteps,Avg Return,Std Error
1000,-449.0331154957648,0
2000,-388.5942643594671,0
3000,-367.7432482884016,0
4000,-369.53355753216965,0
5000,-359.31661518367025,0
6000,-370.0392906794306,0
7000,-375.0182478835639,0
8000,-375.8775679259289,0
9000,-372.73896449556173,0
10000,-368.71007953370946,0
11000,-367.9214442981776,0
12000,-378.2951495231454,0
13000,-381.16009546264655,0
14000,-384.00817514060066,0
15000,-387.4485621005164,0
16000,-383.75452974411894,0
17000,-385.0271058405682,0
18000,-381.5619777128814,0
19000,-386.13004757180533,0
20000,-379.7270121863612,0
21000,-382.2872646110922,0
22000,-379.3435884724227,0
23000,-373.1584400981275,0
24000,-375.2125238888472,0
25000,-372.49211957039887,0
26000,-371.84441158723286,0
27000,-368.7089709218345,0
28000,-372.01463429666074,0
29000,-379.8175454230779,0
30000,-378.58458107689324,0
31000,-383.1568351457603,0
32000,-382.3401315489091,0
33000,-379.644693040846,0
34000,-375.76570093978853,0
35000,-381.0029640816797,0
36000,-380.52025625258887,0
37000,-378.97928283464586,0
38000,-379.13500075300954,0
39000,-380.065502060553,0
40000,-382.86677611129306,0
41000,-382.2547312456998,0
42000,-382.0786282794951,0
43000,-380.90636807603863,0
44000,-381.18056163033924,0
45000,-382.9474028323119,0
46000,-384.56232731898615,0
47000,-383.80295377706585,0
48000,-384.560661860017,0
49000,-382.6731897067769,0
50000,-380.91314844466143,0
51000,-382.01683733031086,0
52000,-379.793739890187,0
53000,-378.5155079341949,0
54000,-378.3998378633107,0
55000,-379.45738147429734,0
56000,-378.9672547406343,0
57000,-378.0363958311767,0
58000,-375.8707755300032,0
59000,-376.10111020251225,0
60000,-376.2722206196874,0
61000,-376.3629308071065,0
62000,-379.255139758789,0
63000,-380.26382262486095,0
64000,-379.2938336721185,0
65000,-381.4634940563267,0
66000,-380.9963991092548,0
67000,-382.4158637737048,0
68000,-382.62168581694846,0
69000,-383.3775899342167,0
70000,-382.6357502657823,0
71000,-382.87840097644545,0
72000,-382.8414326601688,0
73000,-381.12572581363406,0
74000,-381.4831716590636,0
75000,-380.105529463133,0
76000,-379.0738765996164,0
77000,-379.26760671550494,0
78000,-378.339564690429,0
79000,-378.53690939036306,0
80000,-377.0114535122799,0
81000,-376.94917497671133,0
82000,-376.54108057106225,0
83000,-377.65472845676015,0
84000,-377.7390385394174,0
85000,-379.1148878178209,0
86000,-378.4677657285936,0
87000,-378.2580405278296,0
88000,-377.97455465554873,0
89000,-380.00789547951473,0
90000,-380.0981997559708,0
91000,-380.84265433255666,0
92000,-382.3184954936187,0
93000,-383.69294862692436,0
94000,-383.8839350172885,0
95000,-383.94004517880916,0
96000,-385.1854064964015,0
97000,-384.35323157224497,0
98000,-383.6962199668107,0
99000,-383.09988527468124,0
100000,-384.52783856885776,7.832713535992548
101000,-385.1277469706231,7.904532729912448
102000,-385.1944299426374,7.900003679751596
103000,-385.69857255224395,7.878149732126394
104000,-386.102477779154,7.88286467436122
105000,-386.61364448748145,7.855354115286474
106000,-387.01002466616563,7.883892759706933
107000,-386.2047961747706,7.906307144517699
108000,-385.8381522949032,7.916716200584984
109000,-386.35126585126187,7.9084098942492345
110000,-386.8245637251615,7.890151571483647
111000,-386.5466514127795,7.904420105411643
112000,-385.1248885468143,7.840339124120409
113000,-385.5670980242597,7.869784204704319
114000,-383.90937732342695,7.967320928626457
115000,-384.382306474506,8.011783847215735
116000,-385.69331728607017,8.026263571562891
117000,-385.38011002401066,8.0246278631842
118000,-384.50168653022104,8.140058453496426
119000,-383.8784673837708,8.099375661049528
120000,-385.0443027126159,8.000750707373985
121000,-384.74965555094866,7.988270106031097
122000,-384.42134704190335,8.022503805163387
123000,-386.27906862970144,7.893224549537831
124000,-385.2199317534614,7.914999115990504
125000,-386.28850408337547,7.881008323110928
126000,-387.0241349632342,7.886398800861106
127000,-388.5381058114347,7.8384614569599975
128000,-387.7856147968344,7.804325295374966
129000,-385.751921953676,7.512632509055034
130000,-385.6293376849106,7.520622201244779
131000,-384.1324269602818,7.399024342079921
