Timesteps,Avg Return,Std Error
1000,-542.221223130152,0
2000,-466.7757938620165,0
3000,-401.9834387005685,0
4000,-394.235614531411,0
5000,-374.78985519652673,0
6000,-377.25552250267543,0
7000,-375.54255541592295,0
8000,-381.33096257469117,0
9000,-377.0111713673395,0
10000,-367.5737823622425,0
11000,-365.65442811740553,0
12000,-362.46695576754195,0
13000,-351.5049237744867,0
14000,-353.45042953718536,0
15000,-357.3919544640986,0
16000,-361.0382695055165,0
17000,-360.4774849691059,0
18000,-360.4834604767919,0
19000,-350.166107470171,0
20000,-345.66732322410314,0
21000,-342.176692769291,0
22000,-341.4550576332009,0
23000,-338.72595932293365,0
24000,-338.3005586798962,0
25000,-337.02920243098487,0
26000,-341.0046898304794,0
27000,-347.01735321016525,0
28000,-345.63627303512357,0
29000,-352.18644570439204,0
30000,-355.9574135780304,0
31000,-354.2471805582391,0
32000,-354.1404275126979,0
33000,-357.50997871951586,0
34000,-359.8117773009392,0
35000,-362.70625000068145,0
36000,-362.42087698981396,0
37000,-363.5023188666127,0
38000,-361.89508370504626,0
39000,-361.31736276551095,0
40000,-364.4323434153122,0
41000,-366.38707406413033,0
42000,-366.5273130153459,0
43000,-365.434932813532,0
44000,-364.3500251680582,0
45000,-361.7851062746586,0
46000,-361.61474364188246,0
47000,-361.7388591556448,0
48000,-361.36441641166743,0
49000,-362.355903163512,0
50000,-361.16027971991616,0
51000,-359.983611827496,0
52000,-359.9344756347188,0
53000,-358.3816313140464,0
54000,-355.1577132203245,0
55000,-356.83336708998775,0
56000,-356.9817550907025,0
57000,-357.4220313952712,0
58000,-357.3526444442652,0
59000,-359.3766800910966,0
60000,-359.6167671012833,0
61000,-358.9932155809128,0
62000,-360.42378204975967,0
63000,-360.9660841656045,0
64000,-359.36162223184346,0
65000,-359.24689084326536,0
66000,-358.9439528991643,0
67000,-357.586585029207,0
68000,-356.71657661908773,0
69000,-356.98092863328435,0
70000,-357.5619676124606,0
71000,-357.4119034688761,0
72000,-356.1024601375862,0
73000,-355.7707815372157,0
74000,-357.52792769011603,0
75000,-357.38280399140103,0
76000,-357.23842088392104,0
77000,-357.0210820295409,0
78000,-357.9752009799693,0
79000,-358.226788902398,0
80000,-357.3719465996495,0
81000,-362.0681827467157,0
82000,-360.98838528112714,0
83000,-359.3723118310414,0
84000,-359.7353328754173,0
85000,-359.6207627019664,0
86000,-358.3330020718865,0
87000,-357.7499568477103,0
88000,-356.60481742673204,0
89000,-356.2670797175421,0
90000,-356.9680856019323,0
91000,-357.8781915923081,0
92000,-358.93028806681866,0
93000,-358.680318481758,0
94000,-358.42785327034227,0
95000,-358.81314652648405,0
96000,-358.43001750684607,0
97000,-357.5657777584857,0
98000,-355.9256158160077,0
99000,-354.85878412791703,0
100000,-354.6258093175335,8.379204958265039
101000,-353.0342184614022,8.169908363370693
102000,-352.9413518239957,8.166076900798519
103000,-354.0845591713444,8.132473632322784
104000,-354.0168103781605,8.1313444161304
105000,-356.8806624481581,8.424549276010584
106000,-356.7428237237466,8.4203138115339
107000,-356.3889559923121,8.424092955177857
108000,-356.4331285006104,8.427639362275297
109000,-357.60792843148084,8.488991562619884
110000,-358.67474849762345,8.461093188172487
111000,-361.8762681763434,8.9975146827143
112000,-365.3587571465387,9.51634329209887
113000,-366.63604302613453,9.405404429469382
114000,-366.2789467821695,9.407519075981961
115000,-365.5638702960417,9.399231675218246
116000,-364.19123944096793,9.425155522313107
117000,-363.56905046892194,9.453817755407648
118000,-363.8947891232894,9.458344180794246
119000,-364.1944548917434,9.399673568507556
120000,-364.8841157905432,9.34827196543784
121000,-364.86386433754063,9.350297752562243
122000,-366.07837591299693,9.378254013177619
123000,-366.6259168602588,9.342988338822861
124000,-366.5567717573664,9.346061530990777
125000,-366.9363844189222,9.329292098889232
126000,-366.3372235227238,9.301121532319247
127000,-364.34922894900234,9.218241967812045
128000,-364.98576363470033,9.201313154869084
129000,-362.648030319124,9.060789526793723
130000,-360.81953673404826,9.036223006261068
131000,-360.8331249217574,9.035362721151312
132000,-360.7666492349038,9.036340641074995
133000,-360.31984847549023,8.995479803978307
134000,-359.490294903802,8.963711108194092
135000,-358.1389932796275,8.911187933937466
136000,-359.7299899121286,9.040666898935157
137000,-359.80660777311414,9.044606553980122
138000,-359.6029220077027,9.059786275396652
139000,-360.1525370734757,9.06401183903268
140000,-359.8425745139908,9.026172150557539
141000,-358.73641760607586,8.989357877480007
142000,-357.7804286523582,9.025211118465323
143000,-359.2919311512155,9.08629030145082
144000,-359.35615501382074,9.083574721507057
145000,-360.8847812943036,9.024888591098003
146000,-360.46731101244507,9.037647213437502
147000,-359.32272685475755,9.100342611337297
148000,-359.23673417541977,9.102214697799045
149000,-357.8296139561065,9.131450241600586
150000,-358.2537461069147,9.11552331291015
151000,-358.5351691040928,9.102184751885876
152000,-358.5338151966413,9.102186497646725
153000,-359.2511970856526,9.066342386975293
154000,-360.34240531277743,8.91958583955212
155000,-358.19636284278283,8.965788277199898
156000,-357.854371030007,8.969594959429617
157000,-356.6999010299746,9.011870454603812
158000,-356.9842674624635,9.015269456741152
159000,-355.43337188034707,8.940960868728446
160000,-355.1371599226001,8.939739609850161
161000,-354.61682837300185,8.974196200803402
162000,-354.8333851775873,8.999207226208096
163000,-354.207969073555,8.99309128305507
164000,-356.0615463342347,8.984481245431589
165000,-356.1986745634551,8.98488270623128
166000,-356.11158613920037,8.98694282054844
167000,-357.01951695788836,8.943224100195728
168000,-356.9971522953308,8.94471693020468
169000,-356.7219889119431,8.943381999592082
170000,-356.19159672877174,8.934673332701811
