Timesteps,Average Return,Standard Error
1000,-769.9160804201081,0
2000,-1183.7305645757347,0
3000,-1395.0532068555601,0
4000,-1655.7225368775603,0
5000,-1771.3571296035066,0
6000,-2080.5318782498357,0
7000,-2511.696735537662,0
8000,-2809.71825427746,0
9000,-3183.4691834152377,0
10000,-3584.466708710267,0
11000,-3850.706913823808,0
12000,-4449.069675558814,0
13000,-4605.208173847283,0
14000,-4818.57410408395,0
15000,-5373.775528852747,0
16000,-6037.388477803643,0
17000,-6587.198614562505,0
18000,-6959.339695459714,0
19000,-7598.562173993958,0
20000,-8514.235149716516,0
21000,-9867.466340687672,0
22000,-10734.343905688751,0
23000,-12745.952409417097,0
24000,-15893.876130184974,0
25000,-19374.62717868002,0
26000,-23433.861651449286,0
27000,-26193.6050611442,0
28000,-28585.615245595254,0
29000,-30188.91128977873,0
30000,-34494.48412996576,0
31000,-37968.65572293379,0
32000,-44606.760110250216,0
33000,-50445.49471782199,0
34000,-52636.17790477457,0
35000,-56459.15409346728,0
36000,-59415.41270649401,0
37000,-60646.1505291963,0
38000,-61895.40001433547,0
39000,-62492.46952516394,0
40000,-63746.01104745476,0
41000,-63891.82436101068,0
42000,-64853.79318074122,0
43000,-67648.10488448196,0
44000,-69965.12887924464,0
45000,-71888.65436978603,0
46000,-72522.59965011792,0
47000,-73558.35731954071,0
48000,-74351.11686668852,0
49000,-76972.85247479263,0
50000,-79326.685602754,0
51000,-80988.61994176895,0
52000,-82439.58980645222,0
53000,-85748.09592408162,0
54000,-94924.69981621737,0
55000,-99495.82044806218,0
56000,-100950.84153303943,0
57000,-101954.44434825084,0
58000,-104634.17697829811,0
59000,-105526.46680434838,0
60000,-109028.45377519076,0
61000,-112180.78279555871,0
62000,-120046.97096533718,0
63000,-137623.27494504914,0
64000,-159272.79649710117,0
65000,-167525.94531753586,0
66000,-168027.4218084686,0
67000,-169838.02956449453,0
68000,-173210.7985016946,0
69000,-173620.27519758057,0
70000,-176695.06006394853,0
71000,-178446.49568983325,0
72000,-180864.87824001707,0
73000,-179513.93766019028,0
74000,-178064.10211732434,0
75000,-177298.6067807276,0
76000,-176380.49945743068,0
77000,-175005.89255087063,0
78000,-174271.36264494067,0
79000,-178092.59192241225,0
80000,-188667.22290199675,0
81000,-216808.49072314927,0
82000,-226876.25899475176,0
83000,-237624.89864993113,0
84000,-243809.53763787975,0
85000,-246193.2863053798,0
86000,-247352.55206600594,0
87000,-259560.0492191857,0
88000,-257937.35009206264,0
89000,-262964.09231951425,0
90000,-266406.5358361253,0
91000,-268390.6627607469,0
92000,-273373.97653519956,0
93000,-274596.8268278082,0
94000,-284894.92435947666,0
95000,-285197.1175761851,0
96000,-285882.8329494511,0
97000,-288383.1197667686,0
98000,-291418.0010321083,0
99000,-289972.5178523809,0
100000,-290793.80735629686,38760.367651635155
101000,-295269.47160472284,38681.214614105134
102000,-300911.02903655625,38660.18522693486
103000,-309557.14971291815,38947.372567554
104000,-312058.73016076285,38829.4666061967
105000,-316398.0426728038,38723.12329908944
106000,-320313.6602788675,38602.65711174194
107000,-322774.2466792104,38479.17362784828
108000,-329545.8035643183,38509.63016634073
109000,-332660.41768290283,38372.54002725811
110000,-351726.39075107465,41330.632138396555
111000,-357335.573706985,41238.84295092472
112000,-364376.7856803368,41242.659681027806
113000,-376116.69449767703,41873.26598356136
114000,-384369.9926997583,41952.05998195327
115000,-404691.3488228923,44921.35371002499
116000,-442874.8201224228,56253.77851797947
117000,-460952.97535978525,57736.24725710977
118000,-471616.3667441194,57884.1261899004
119000,-487762.3836058408,58843.298034846746
120000,-505772.88586813695,60144.03539568543
121000,-522184.7826335884,61074.30319529692
122000,-564719.2475732769,71425.20779918328
123000,-584944.3759594958,72809.01298406954
124000,-648332.0578695455,93001.84393995124
125000,-694682.6305740997,101344.09096816517
126000,-744259.0864432424,110176.81258277544
127000,-806387.9401895762,123114.71029014447
128000,-884529.703142206,141730.95406481094
129000,-963505.6057295359,158063.10789007682
130000,-1062674.8374615307,182003.2951690512
131000,-1109680.1373789392,185599.71160843252
132000,-1181186.2582999233,195653.65846264566
133000,-1216967.804267427,197160.80996896146
134000,-1242026.82221194,197349.31285799376
135000,-1315528.1850705033,206744.85780701562
136000,-1342733.2689016522,206999.99098779043
137000,-1444136.8880567509,224763.33051328533
138000,-1483076.8371971054,225785.78508766467
139000,-1515776.9521797632,226105.2813905143
140000,-1590938.0385352587,233681.5365190159
141000,-1646857.9964981421,236646.37687673263
142000,-1713597.6401592325,241561.88271881215
143000,-1767492.743667708,244090.37239330873
144000,-1839600.438719191,249846.39888420276
145000,-1903195.8200751522,253547.69530705322
146000,-1973040.6634339255,258066.9317432603
147000,-2010118.3724395898,258043.23745263641
148000,-2047680.3887378874,257986.1875699653
149000,-2064017.802409479,257329.18363565888
150000,-2109128.618370833,257965.85735770763
151000,-2177845.354506633,261816.75456372468
152000,-2210965.2048036,261333.11065988283
153000,-2229235.802665667,260598.8447841212
154000,-2254055.1264279173,260199.1085886212
155000,-2273928.136209782,259492.42952096224
156000,-2290416.7443442936,258679.87825249956
157000,-2303543.857056464,257926.4794482783
158000,-2305712.9408738874,257763.38105251073
