Timesteps,Average Return,Standard Error
5000,16.48280513,1.497100944
8000,5.331517796,0.180900198
23000,5.904983369,0.213225213
50000,5.620520404,0.236536021
56000,5.017090249,0.186869867
58000,3.063196564,0.105848799
85000,5.912940103,0.216834177
95000,2.663673147,0.18838675
97000,1.031109902,0.123135207
121000,1.446247841,0.070705992
125000,0.348873635,0.058132177
135000,1.417532258,0.068770271
137000,-0.026077946,0.04749264
142000,0.637309022,0.054719904
145000,-0.446538302,0.044617531
154000,-0.71841599,0.044518016
158000,-0.305503471,0.055448621
162000,-0.975529372,0.069111134
165000,0.188962665,0.056175325
169000,-1.33939982,0.067816978
174000,-1.188794714,0.043656955
177000,-4.630468602,0.018537242
180000,-13.09638562,0.024508056
183000,-6.851121698,0.019565776
186000,-5.857986535,0.019768891
191000,-1.759946968,0.023317311
194000,-6.471172575,0.016184683
197000,-4.290221196,0.017226473
200000,-8.536483189,0.02699418
203000,-19.82004122,0.023393042
206000,-11.61135653,0.020478427
209000,-6.343467482,0.017761825
212000,-1.515655277,0.026841273
215000,-0.599949223,0.034474219
250000,-1.236606167,0.048496518
255000,-0.023516355,0.081545686
264000,1.870762814,0.054726964
265000,1.458135599,0.070883122
272000,1.690228821,0.047201402
275000,3.534512236,0.144219699
280000,3.156193635,0.085249917
281000,5.013303467,0.182978556
287000,7.174324364,0.33458184
302000,14.87501696,1.55795368
308000,11.90863753,0.632961838
364000,41.57847038,2.037351355
387000,8.899576634,0.387843608
390000,4.35581933,0.092938333
393000,3.057811237,0.06500672
433000,4.878227673,0.054474376
439000,4.180555695,0.039159043
450000,3.909971843,0.029554051
451000,2.490815441,0.042215135
454000,2.795622822,0.047908178
458000,2.029409793,0.044759382
465000,1.127462369,0.045164977
481000,-0.194003563,0.045649305
485000,0.725818527,0.045080437
498000,1.881810894,0.029261283
505000,0.67696911,0.038563779
512000,0.088128363,0.036504637
519000,-2.353881131,0.023862864
555000,-1.369106531,0.059674007
563000,-1.952728946,0.047133349
570000,-1.364645466,0.015872867
571000,-0.220446366,0.049054433
574000,-1.33472724,0.036161729
579000,0.00914614,0.04908038
586000,1.771199274,0.023953883
593000,0.964348245,0.01477672
595000,0.043207794,0.048918416
608000,1.271245832,0.03119022
611000,2.629071176,0.051732021
618000,3.142240863,0.081383924
622000,4.511657181,0.116780884
627000,4.028098526,0.09555297
629000,5.053556529,0.113117301
631000,1.820303752,0.080271112
647000,1.752024655,0.052765735
676000,1.185604487,0.048967128
681000,1.100522415,0.084602998
686000,4.715499255,0.101840887
695000,2.662244431,0.06793553
702000,1.49570758,0.066972733
724000,5.635372572,0.118275549
725000,3.31196039,0.109309049
735000,0.251087135,0.077873449
737000,2.226459866,0.087469687
740000,1.770371563,0.087621371
781000,4.662147299,0.111202009
783000,2.845440468,0.078361801
788000,1.685234304,0.112704916
798000,2.303195662,0.072085587
799000,1.802188932,0.047513614
807000,2.301589105,0.039809115
817000,2.991437649,0.035456917
823000,3.174160659,0.039867996
824000,4.613526798,0.079167835
826000,4.315415041,0.095047897
829000,3.320076246,0.063003146
831000,3.40099459,0.069347102
847000,5.13402509,0.103076475
848000,3.404407337,0.073330242
851000,6.308520361,0.142497725
854000,6.067124137,0.112825846
859000,2.604267554,0.100360693
864000,1.314788275,0.09120985
894000,5.328606779,0.110297735
903000,7.25918237,0.112305215
923000,7.425247931,0.16489541
938000,5.602940798,0.142382103
947000,5.207592357,0.12596048
951000,6.133847699,0.126450832
969000,7.313666816,0.140296588
970000,6.919222998,0.143775956
978000,5.815559058,0.122967694
984000,6.961633587,0.151849235
992000,8.089151172,0.147279976
